image_path,image_name,detection_conf,plate_text,ocr_confidence,x_min,y_min,x_max,y_max,width,height
./input/Car_Number_Plate\1.jfif,1.jfif,0.999467134475708,MH14 FS 6260,0.513672261918556,935,565,1245,640,310,75
./input/Car_Number_Plate\10.jpg,10.jpg,0.9839234352111816,JINd DL12CC7927,0.6058472291098547,480,590,840,680,360,90
./input/Car_Number_Plate\10.png,10.png,0.9959111213684082,ZOOMN65,0.899142120621512,250,210,530,325,280,115
./input/Car_Number_Plate\14.png,14.png,0.9477746486663818,Wa ENNESSEE NITESKY,0.8226808844481935,625,660,830,770,205,110
./input/Car_Number_Plate\15.jpg,15.jpg,0.9991807341575623,Không nhận diện,0.0,230,350,400,410,170,60
./input/Car_Number_Plate\17 (1).jpg,17 (1).jpg,0.7910926938056946,UP3? CI 8469,0.3161315931750664,200,240,370,285,170,45
./input/Car_Number_Plate\2.jfif,2.jfif,0.9959011077880859,MH14 FS 6260,0.7888007154649117,610,560,940,635,330,75
./input/Car_Number_Plate\20121005_125.jpg,20121005_125.jpg,0.999607503414154,KA 999 29 IND,0.8729351630730496,890,750,1650,975,760,225
./input/Car_Number_Plate\20200222_164415.jpg,20200222_164415.jpg,0.9810863137245178,MH.O4.BY.3645,0.6406542062435707,735,2495,1535,2705,800,210
./input/Car_Number_Plate\20200222_164536.jpg,20200222_164536.jpg,0.9994621276855469,MH.46.P6924 HALLMARK HONDA PH : 71255000,0.8792484732963928,695,2860,1930,3205,1235,345
./input/Car_Number_Plate\20200222_164610.jpg,20200222_164610.jpg,0.9997375011444092,MH 43 X 2831,0.9274995802216234,485,1490,1000,1605,515,115
./input/Car_Number_Plate\20200222_164619.jpg,20200222_164619.jpg,0.9992884397506714,MH.05.CV.1640,0.32522944246075136,630,1555,1135,1685,505,130
./input/Car_Number_Plate\20200222_164649.jpg,20200222_164649.jpg,0.9987689852714539,MH 02 CB 5028 auto aRt,0.808763905265342,1020,2190,1595,2335,575,145
./input/Car_Number_Plate\20200222_164659.jpg,20200222_164659.jpg,0.9977187514305115,MH.O1.AC.7791,0.6260971084963026,535,1555,880,1640,345,85
./input/Car_Number_Plate\20200222_164707.jpg,20200222_164707.jpg,0.6025204658508301,MHOLAC.7791,0.5283145764369627,835,2490,1865,2710,1030,220
./input/Car_Number_Plate\20200222_164721.jpg,20200222_164721.jpg,0.9997621774673462,IND,0.9711761887125474,935,3050,2000,3315,1065,265
./input/Car_Number_Plate\20200222_164741.jpg,20200222_164741.jpg,0.9997310042381287,IND MH 03 CS 0378,0.9429489983979048,850,2430,1795,2680,945,250
./input/Car_Number_Plate\20200222_164802.jpg,20200222_164802.jpg,0.939885675907135,MH 43 BE 3430,0.8767508422563799,1015,2680,1960,2875,945,195
./input/Car_Number_Plate\20200222_164832.jpg,20200222_164832.jpg,0.9974192976951599,MH A 46 802,0.9937384432223053,370,2245,1065,2435,695,190
./input/Car_Number_Plate\20200222_164842.jpg,20200222_164842.jpg,0.9977751970291138,MH 43AR 2060,0.8264878604325681,675,1920,1110,2035,435,115
./input/Car_Number_Plate\20200222_164851.jpg,20200222_164851.jpg,0.9994959235191345,MH. 43.BN.6581,0.5822052597899151,455,2225,1140,2365,685,140
./input/Car_Number_Plate\20200222_164900.jpg,20200222_164900.jpg,0.9964832067489624,MH.43.D.9740 Global Gallarie Group  1800 1212 44,0.5048796255232468,505,1580,1085,1735,580,155
./input/Car_Number_Plate\20200222_164938.jpg,20200222_164938.jpg,0.9998153448104858,INDI HR104B3784,0.753076634162835,435,1895,1170,2055,735,160
./input/Car_Number_Plate\20200222_164948.jpg,20200222_164948.jpg,0.9998432397842407,ND MH 46 X 3802,0.838104189968003,580,1575,1175,1750,595,175
./input/Car_Number_Plate\20200222_164957.jpg,20200222_164957.jpg,0.9969419240951538,Jind MH 43 BK 9282,0.6832059638708288,340,1525,1010,1675,670,150
./input/Car_Number_Plate\20200222_165025.jpg,20200222_165025.jpg,0.9953523874282837,MH 01 Ac 3178,0.7340753680427806,795,2685,1750,2885,955,200
./input/Car_Number_Plate\20200222_165049.jpg,20200222_165049.jpg,0.9953716993331909,MH 43 BE 0112,0.8841226814131683,890,2645,1890,2840,1000,195
./input/Car_Number_Plate\20200222_165110.jpg,20200222_165110.jpg,0.9905011057853699,MHO5BL1659 AUTOVISTA 65999111-15,0.9100094975223922,460,1655,1020,1790,560,135
./input/Car_Number_Plate\20200222_165125.jpg,20200222_165125.jpg,0.9985767006874084,Không nhận diện,0.0,920,2855,1745,3055,825,200
./input/Car_Number_Plate\20200222_165152.jpg,20200222_165152.jpg,0.9997990131378174,JIND HH 46 AP 8611,0.47817423656187047,835,2465,1775,2730,940,265
./input/Car_Number_Plate\20200222_165204.jpg,20200222_165204.jpg,0.8546788692474365,MH 04 CJ 1049,0.8984499089673992,1205,2470,1690,2710,485,240
./input/Car_Number_Plate\20200222_165228.jpg,20200222_165228.jpg,0.9998921155929565,MH 43 AT 8022,0.8679696509609796,495,1765,1065,1895,570,130
./input/Car_Number_Plate\20200222_165316.jpg,20200222_165316.jpg,0.9892948269844055,MH a3 X 3700,0.6487889488631448,430,1830,1010,1960,580,130
./input/Car_Number_Plate\20200222_165343.jpg,20200222_165343.jpg,0.9996899962425232,MH 02 CL 3020 ShivaM AUTOZONE 410 99999,0.8152305181323921,450,1535,1000,1670,550,135
./input/Car_Number_Plate\20200222_165402.jpg,20200222_165402.jpg,0.9772146344184875,MH43 AB 4334,0.8698603995342375,480,1255,1110,1400,630,145
./input/Car_Number_Plate\20200222_165404.jpg,20200222_165404.jpg,0.9899455308914185,MH43 AB 4334,0.9802365686532366,400,1390,1065,1535,665,145
./input/Car_Number_Plate\20200222_165423.jpg,20200222_165423.jpg,0.9983440637588501,8261,0.9449524283409119,435,2075,950,2235,515,160
./input/Car_Number_Plate\20200222_165436.jpg,20200222_165436.jpg,0.9996595978736877,Mh 43 BK 5376,0.7199869346372356,345,2155,880,2315,535,160
./input/Car_Number_Plate\20200222_165535.jpg,20200222_165535.jpg,0.9977582097053528,IH02 .BJ3640,0.5027394032579477,280,1910,820,2080,540,170
